,ლანჩხუთი,თბილისი,ოზურგეთი,ქუთაისი,blank,ხაშური,ჭიათურა,ადიგენი,ბოლნისი,საგარეჯო,ჩოხატაური,წყალტუბო,OCCUPIED,დმანისი,საჩხერე,ფოთი,ხელვაჩაური,ახალციხე,მარნეული,გურჯაანი,რუსთავი,გარდაბანი,თელავი,ნინოწმინდა,ახალქალაქი,ჩხოროწყუ,მცხეთა,ზუგდიდი,სამტრედია,ბაღდათი,მარტვილი,კასპი,ზესტაფონი,ამბროლაური,ვანი,ტყიბული,ყვარელი,გორი,ლაგოდეხი,თეთრიწყარო,ცაგერი,ხონი,წალკა,თიანეთი,დუშეთი,თერჯოლა,ქარელი,ცხინვალი,სიღნაღი,დედოფლისწყარო,სენაკი,ბორჯომი,ახმეტა,ლენტეხი,მესტია,ხობი,ასპინძა,ხარაგაული,ყაზბეგი,OCCUPIEDABKH,ახალგორი,წალენჯიხა,ონი
20,0.25,42.64,0.99,0.36,0.0,0.0,1.02,0.2,0.0,0.09,0.86,0.0,0.07,0.61,0.38,38.4,0.21,5.49,0.49,0.0,1.39,0.2,0.0,0.66,0.59,0.0,0.0,0.49,0.13,0.0,0.11,0.58,0.0,0.29,0.8,0.17,1.45,0.0,0.0,0.0,0.84,0.0,0.0,0.44,0.42,0.93,0.0,0.0,0.0,1.16,0.16,0.71,0.62,0.86,0.0,1.61,1.37,0.25,0.19,0.0,0.81,0.06,0.0
21,0.0,65.79,0.0,0.81,0.27,2.22,0.03,4.64,0.19,2.58,0.0,0.0,0.7,0.26,6.32,7.51,0.0,9.66,1.39,0.0,1.47,2.81,0.49,0.0,0.0,0.0,0.0,0.33,1.99,0.0,0.87,0.0,1.34,0.1,1.65,0.16,0.0,0.84,0.0,0.0,0.0,0.86,0.0,1.08,1.17,0.0,0.0,0.0,1.14,2.1,4.71,0.32,0.01,0.72,1.57,7.14,1.74,0.0,1.21,0.0,1.77,1.01,0.0
22,0.0,28.3,1.0,0.63,0.0,0.0,0.0,2.86,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,57.37,0.88,1.74,0.0,0.0,1.97,0.43,0.48,1.29,0.48,0.0,0.0,2.02,1.5,1.81,0.0,0.33,0.29,0.0,0.27,1.91,1.32,1.57,0.0,0.37,1.32,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.34,1.35,0.41,1.19,2.63,2.13,0.0,0.0,0.0,0.0,0.23,0.0
23,7.85,38.41,0.0,0.0,0.0,12.84,0.0,10.67,6.64,10.05,13.18,0.0,1.33,3.49,0.0,14.77,0.0,0.0,0.0,79.03,3.23,10.49,0.0,3.63,0.0,0.0,0.0,13.91,3.12,0.0,11.11,0.0,11.28,0.0,1.86,15.26,0.41,19.1,0.19,0.0,17.18,9.71,0.0,23.04,0.0,0.42,41.46,0.0,12.45,2.1,0.0,6.0,45.03,3.79,0.0,0.0,7.86,2.44,0.0,14.16,34.89,0.0,0.0
24,1.59,3.13,11.2,0.0,0.0,0.0,18.57,1.19,6.46,9.6,0.0,4.73,0.82,10.85,16.77,0.0,2.17,0.24,0.0,19.5,8.05,78.32,0.0,0.0,15.36,9.46,0.0,0.0,0.0,0.0,0.0,4.38,10.78,0.0,6.68,0.0,6.65,0.0,1.02,0.0,0.0,0.0,0.0,0.0,8.02,0.0,0.0,0.0,21.35,0.0,0.0,10.34,16.05,10.8,0.0,15.05,2.03,0.0,0.0,0.0,2.37,4.21,11.5
25,3.93,22.73,4.16,0.0,0.0,0.71,0.0,0.0,1.23,3.31,10.34,4.4,0.0,1.02,0.0,20.22,0.58,0.88,0.0,0.0,0.0,0.0,0.0,0.0,9.55,60.56,7.31,0.0,0.0,0.0,0.0,0.0,0.0,2.57,13.3,0.0,0.0,3.15,0.0,1.47,0.0,2.48,0.0,0.0,0.2,1.01,10.64,0.91,0.0,2.74,4.06,5.48,0.0,0.0,3.42,0.0,4.75,0.0,0.31,0.0,0.0,1.61,0.0
26,0.0,52.88,1.06,0.31,35.55,0.89,0.0,0.56,1.18,0.0,0.0,0.26,0.02,1.06,1.26,2.08,1.36,0.21,0.0,0.0,4.54,0.0,0.0,1.25,0.02,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.12,0.0,3.6,0.67,0.14,2.91,0.55,1.22,0.3,0.0,2.41,1.7,1.36,0.0,1.22,0.53,0.0,0.0,1.04,0.72,2.13,0.0,0.0,0.0,0.0,1.92,1.15
27,0.78,21.76,0.89,0.85,0.0,0.11,0.0,0.0,0.05,0.28,71.34,0.0,0.23,0.0,0.07,0.45,0.0,0.0,0.71,0.0,0.0,0.11,0.0,1.78,0.0,1.22,0.36,0.0,0.45,0.13,0.0,0.35,0.64,0.0,0.07,0.0,0.17,0.0,0.1,0.0,0.0,1.05,0.0,1.05,1.66,0.65,0.22,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.48,0.0,0.59,0.65,0.0,0.0,0.43
28,0.0,32.43,12.12,18.17,2.03,0.13,0.9,0.67,0.0,0.05,0.84,0.0,1.19,0.0,5.05,0.0,0.0,1.8,2.74,0.0,1.18,3.41,1.76,0.0,0.62,0.0,0.62,3.6,0.47,1.53,0.86,0.24,3.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.81,0.81,0.99,0.22,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.06,0.0,3.48,0.0,1.55,1.31,1.49,0.0,0.0,0.93,0.89,0.0
29,2.23,16.71,2.77,26.28,2.64,0.69,0.0,0.0,0.0,2.71,0.0,0.0,3.39,0.0,0.0,3.86,0.0,0.43,1.18,7.93,0.94,0.37,0.87,0.0,0.62,8.55,1.29,0.0,48.97,0.0,1.02,3.05,0.0,0.0,1.35,0.0,0.88,0.0,5.83,5.97,0.0,3.0,2.13,0.0,10.64,4.02,0.34,0.29,2.19,3.02,11.04,5.47,1.04,13.79,1.98,0.98,0.0,0.0,0.97,0.0,0.0,0.59,6.09
30,0.0,17.85,12.45,12.16,1.91,2.16,0.16,0.0,0.58,0.0,14.18,0.77,0.0,0.0,4.54,6.54,0.0,0.0,2.92,0.0,11.48,0.0,0.0,0.0,4.02,1.43,1.41,1.91,0.0,2.28,0.0,4.86,0.0,0.0,0.0,0.0,2.65,0.0,0.0,0.0,1.17,0.0,0.78,0.0,1.41,5.19,2.42,0.0,5.59,10.18,0.0,0.0,0.32,0.0,2.74,2.02,3.09,3.13,4.33,0.0,45.74,0.0,5.04
31,0.29,51.91,1.86,0.0,1.46,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,1.2,0.05,2.06,0.0,0.0,0.67,1.41,19.46,3.64,0.0,0.72,1.1,0.45,0.0,0.0,0.56,9.25,0.0,0.27,0.57,0.09,1.39,4.44,0.0,0.0,0.0,1.8,0.25,0.67,0.0,0.0,0.0,2.35,0.0,0.0,0.0,0.45,1.49,0.0,2.11,0.86,0.48,0.0,0.18,0.0,1.38,0.33,0.03,2.15,1.31
32,0.0,32.16,0.0,13.34,0.0,1.43,0.21,0.0,0.0,0.0,0.0,3.91,1.2,0.0,0.0,1.61,0.0,0.0,0.08,1.99,2.37,0.58,0.0,0.0,1.99,2.67,0.36,0.89,1.47,0.0,45.77,0.0,0.6,0.53,0.0,0.0,0.0,0.56,0.0,0.23,0.0,0.0,2.27,0.0,0.03,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,2.22,0.0,1.64,0.39,4.44,0.0,0.0,0.43,7.37
33,5.16,41.94,0.0,5.71,6.91,0.0,1.81,3.28,1.04,2.7,3.65,0.0,4.79,0.0,0.0,6.01,1.68,0.0,0.0,6.08,3.79,4.7,0.0,0.0,0.0,4.21,6.06,0.0,0.11,0.0,0.0,0.0,0.0,0.0,3.67,0.0,0.72,2.36,0.0,0.0,1.03,1.8,0.0,0.0,0.0,1.58,3.56,0.1,3.38,0.91,3.66,0.02,0.0,41.75,0.0,0.0,5.01,0.0,0.0,0.0,0.0,1.31,0.0
34,2.79,41.82,1.08,27.8,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,1.29,0.0,4.31,11.26,0.0,0.0,1.1,0.0,0.0,0.11,3.22,0.0,5.13,0.0,2.02,0.0,17.84,3.81,0.0,0.47,0.9,4.45,2.49,0.0,0.0,2.54,1.64,0.0,0.0,0.0,0.71,0.66,0.0,4.02,0.0,0.11,2.62,0.81,0.0,0.33,0.3,0.06,3.52,1.19,4.09
35,0.0,28.7,0.0,24.54,1.88,0.94,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.24,5.43,7.07,0.0,1.43,0.0,0.0,9.67,6.2,12.64,0.0,5.38,0.0,0.0,2.99,6.05,4.2,8.94,0.34,1.31,0.0,0.0,3.11,1.56,0.0,0.0,0.51,0.0,2.72,1.58,0.0,0.0,0.0,0.0,0.0,0.6,4.19,6.19,0.0,22.67,0.0,0.0,0.0,4.56,0.0,0.0,3.5
